source_id,city,area,rooms,floor,floor_count,year_built,has_parking,has_balcony,has_elevator,price,price_per_sqm,city_median_price_per_sqm,price_difference_pct,price_rating
cd84b8661d69c6b3962187688a8c8697,Szczecin,51.0,2,2,4,1960,True,False,False,379000,7431.3725490196075,7989.845360824743,-6.989782487448393,W średniej
b4db818b36b9030c3e8b701719a3d66b,Szczecin,54.18,2,1,3,2009,True,True,False,585000,10797.34219269103,7989.845360824743,35.13831250892303,Powyżej średniej
d013e14f8c51cae4f8066c4207a98bae,Szczecin,54.6,2,5,6,2004,False,True,False,519000,9505.494505494506,7989.845360824743,18.969693106967856,Powyżej średniej
d861cb6a6f3143d5edb4381b6621b6d4,Szczecin,38.0,2,3,11,1980,False,False,True,380000,10000.0,7989.845360824743,25.15886789287949,Powyżej średniej
6ee0ade67f8b5361d6ab6b9bba191988,Szczecin,67.52,3,1,3,2017,True,True,False,699000,10352.488151658768,7989.845360824743,29.570569693605986,Powyżej średniej
6ac86a830f550d9b74f3dc14d2f3d180,Szczecin,34.98,1,,4,1930,False,False,False,325000,9291.02344196684,7989.845360824743,16.285397556277402,Powyżej średniej
99e798452830f9a1ca9adb3539874ba1,Szczecin,60.0,3,2,3,,False,True,False,585000,9750.0,7989.845360824743,22.02989619555751,Powyżej średniej
e17302372cbe287c50869c5d59efd4fd,Szczecin,48.08,2,4,4,1930,False,False,,399000,8298.668885191348,7989.845360824743,3.86520026884134,W średniej
db6396a201cbf1ab7adc2ea77a889460,Szczecin,46.4,2,1,4,1968,False,False,,369995,7974.0301724137935,7989.845360824743,-0.1979411077027038,W średniej
041c0d5bda3250dc9b096c3a59689fe5,Szczecin,100.0,4,5,5,,False,False,True,599000,5990.0,7989.845360824743,-25.029838132165196,Atrakcyjna
798644f563db6fba4c3456abf15d70df,Szczecin,67.95,3,1,1,,False,False,,390000,5739.514348785871,7989.845360824743,-28.16488818510229,Atrakcyjna
945c3649ddbe690047500c38ec4e3424,Szczecin,66.0,3,3,4,2013,True,True,True,684900,10377.272727272728,7989.845360824743,29.880770636110853,Powyżej średniej
5a2fe48c3fcd276f5117516ab4c834df,Szczecin,71.14,3,2,3,,False,False,False,475000,6676.974978914815,7989.845360824743,-16.43173706899388,Atrakcyjna
88d400c58fb1f13e2f28616e9457c5c7,Szczecin,44.05,3,2,4,1980,False,True,False,479000,10874.00681044268,7989.845360824743,36.09783818544672,Powyżej średniej
160de08bfab54909b1f16bf75be4c5b8,Szczecin,48.0,2,3,4,1970,False,False,False,320000,6666.666666666667,7989.845360824743,-16.56075473808034,Atrakcyjna
a158bec6bf5cc353c3739a17fd81f15a,Szczecin,131.29,5,,2,1930,True,False,False,659000,5019.422652144109,7989.845360824743,-37.17747433817687,Atrakcyjna
4cc526db21afa9861c7ec26124a0951e,Szczecin,77.0,3,,2,1906,False,False,False,660000,8571.42857142857,7989.845360824743,7.279029622468114,W średniej
090a9bb45ef07a993320e0af1f2afda2,Szczecin,51.0,2,1,3,,False,False,False,550000,10784.313725490196,7989.845360824743,34.975249688399444,Powyżej średniej
4ccbfcd4124d75e0eb88baa1586c445b,Szczecin,89.6,3,5,5,1950,False,False,True,520000,5803.571428571429,7989.845360824743,-27.363157026453866,Atrakcyjna
0d587d3ed5f4b1d7bc24fdad8c10bebb,Szczecin,30.0,1,2,10,1970,False,False,False,274000,9133.333333333334,7989.845360824743,14.31176600882993,Powyżej średniej
08a8fee930707cc7438bdbc00dfac02d,Szczecin,94.03,5,2,4,1930,False,True,False,850000,9039.668191002871,7989.845360824743,13.139463691319332,Powyżej średniej
e9c62acccb20119e6299f186456bc2b4,Szczecin,42.88,2,,4,1930,False,False,False,269000,6273.320895522388,7989.845360824743,-21.483825878767306,Atrakcyjna
89b34f85314d039ef5069a859a86eb53,Szczecin,44.96,2,,,,False,False,,370000,8229.537366548042,7989.845360824743,2.9999580079301813,W średniej
